id,question,A,B,C,D,answer
5,Hạt nhân cesium có bao nhiêu neutron?,,,,,"Đáp án: C
CĐTD: Vận dụng
TPNL: VL2.4
Công suất tiêu thụ điện của máy làm nóng nước là"
6,"Độ phóng xạ của mẫu xenon  khi bệnh nhân sử dụng là . Tìm  (làm tròn kết quả đến chữ số hàng phần trăm).
---------- HẾT ----------
ĐÁP ÁN CHI TIẾT",,,,,"Đáp án: B
CĐTD: Hiểu
TPNL: VL1.5
Theo định luật Charles, khi áp suất của khối khí lí tưởng xác định không đổi thì thể tích và nhiệt độ tuyệt đối của khối khí tỉ lệ thuận với nhau. Do đó, thể tích của khối khí tăng 2 lần (từ  lên ) thì nhiệt độ tuyệt đối của nó tăng 2 lần."
1,Quá trình một chất chuyển từ thể rắn sang thể lỏng được gọi là quá trình,nóng chảy.,hóa hơi.,đông đặc.,"ngưng tụ.
Hướng dẫn giải
CĐTD: Biết
TPNL: VL1.1
Quá trình một chất chuyển từ thể rắn sang thể lỏng được gọi là quá trình nóng chảy.","Đáp án: A
CĐTD: Biết
TPNL: VL1.1
Quá trình một chất chuyển từ thể rắn sang thể lỏng được gọi là quá trình nóng chảy."
2,Biển báo nào dưới đây cảnh báo nơi nguy hiểm về điện?,Hình 1.,Hình 2.,Hình 3.,"Hình 4.
Hướng dẫn giải
CĐTD: Biết
TPNL: VL1.2
Hình 1: Cảnh báo về nguy cơ điện giật hoặc khu vực có điện áp cao. Khi thấy biển này, cần tránh tiếp xúc với các thiết bị điện hoặc hệ thống điện mà không có bảo hộ phù hợp.
Hình 2 : Cảnh báo về sự hiện diện của chất phóng xạ hoặc bức xạ ion hóa có thể gây hại cho sức khỏe. Khu vực có biển báo này yêu cầu tuân thủ các quy tắc an toàn nghiêm ngặt, chẳng hạn như sử dụng quần áo bảo hộ và thiết bị chuyên dụng.
Hình 3: Thường được gọi là cảnh báo sinh học, biểu tượng này cho biết khu vực có nguy cơ tiếp xúc với các tác nhân sinh học nguy hiểm như vi khuẩn, virus hoặc các chất sinh học có thể gây bệnh. Thường gặp trong phòng thí nghiệm hoặc các cơ sở y tế.
Hình 4 : Đây là biểu tượng cảnh báo chung, có thể áp dụng cho nhiều loại nguy hiểm khác nhau. Thường được sử dụng khi có nguy cơ gây hại nhưng không thuộc một loại nguy hiểm cụ thể nào, ví dụ như nguy hiểm hóa chất, nguy hiểm vật lý hoặc các nguy cơ tiềm ẩn khác.","Đáp án: A
CĐTD: Biết
TPNL: VL1.2
Hình 1: Cảnh báo về nguy cơ điện giật hoặc khu vực có điện áp cao. Khi thấy biển này, cần tránh tiếp xúc với các thiết bị điện hoặc hệ thống điện mà không có bảo hộ phù hợp.
Hình 2 : Cảnh báo về sự hiện diện của chất phóng xạ hoặc bức xạ ion hóa có thể gây hại cho sức khỏe. Khu vực có biển báo này yêu cầu tuân thủ các quy tắc an toàn nghiêm ngặt, chẳng hạn như sử dụng quần áo bảo hộ và thiết bị chuyên dụng.
Hình 3: Thường được gọi là cảnh báo sinh học, biểu tượng này cho biết khu vực có nguy cơ tiếp xúc với các tác nhân sinh học nguy hiểm như vi khuẩn, virus hoặc các chất sinh học có thể gây bệnh. Thường gặp trong phòng thí nghiệm hoặc các cơ sở y tế.
Hình 4 : Đây là biểu tượng cảnh báo chung, có thể áp dụng cho nhiều loại nguy hiểm khác nhau. Thường được sử dụng khi có nguy cơ gây hại nhưng không thuộc một loại nguy hiểm cụ thể nào, ví dụ như nguy hiểm hóa chất, nguy hiểm vật lý hoặc các nguy cơ tiềm ẩn khác."
3,Một vật được làm nóng sao cho thể tích của vật không thay đổi thì nội năng của vật,giảm.,tăng.,giảm rồi tăng.,"không thay đổi.
Hướng dẫn giải
CĐTD: Hiểu
TPNL: VL1.5
Thể tích vật không thay đổi nên vật không sinh công, cũng không nhận công, tức là .
Vật được làm nóng nên nó nhận nhiệt lượng, tức là .
Theo định luật I nhiệt động lực học, độ biến thiên nội năng của vật là
Do đó, nội năng của vật tăng.
Sử dụng các thông tin sau cho Câu 4 và Câu 5: Hình bên dưới là sơ đồ nguyên lí hoạt động của một máy làm nóng nước. Nước lạnh có nhiệt độ  được đưa vào máy từ ống dẫn nước lạnh với lưu lượng . Khối lượng riêng của nước là . Nhiệt dung riêng của nước là . Hiệu suất làm nóng nước là .","Đáp án: B
CĐTD: Hiểu
TPNL: VL1.5
Thể tích vật không thay đổi nên vật không sinh công, cũng không nhận công, tức là .
Vật được làm nóng nên nó nhận nhiệt lượng, tức là .
Theo định luật I nhiệt động lực học, độ biến thiên nội năng của vật là
Do đó, nội năng của vật tăng.
Sử dụng các thông tin sau cho Câu 4 và Câu 5: Hình bên dưới là sơ đồ nguyên lí hoạt động của một máy làm nóng nước. Nước lạnh có nhiệt độ  được đưa vào máy từ ống dẫn nước lạnh với lưu lượng . Khối lượng riêng của nước là . Nhiệt dung riêng của nước là . Hiệu suất làm nóng nước là ."
4,Nhiệt độ của nước tăng một lượng bao nhiêu kelvin (K) khi đi qua máy làm nóng nước?,"309,7 K.","16,5 K.","36,7 K.","289,5 K.
Hướng dẫn giải
CĐTD: Vận dụng
TPNL: VL2.4
Nhiệt độ của nước tăng một lượng là","Đáp án: B
CĐTD: Vận dụng
TPNL: VL2.4
Nhiệt độ của nước tăng một lượng là"
5,Công suất tiêu thụ điện của máy làm nóng nước là,"2,7 kW.","2,8 kW.","3,0 kW.","2,9 kW.
Hướng dẫn giải
CĐTD: Vận dụng
TPNL: VL2.4
Công suất tiêu thụ điện của máy làm nóng nước là","Đáp án: C
CĐTD: Vận dụng
TPNL: VL2.4
Công suất tiêu thụ điện của máy làm nóng nước là"
6,Một khối khí lí tưởng xác định có thể tích bằng . Nếu giữ áp suất của khối khí đó không đổi và làm cho thể tích của khối khí tăng lên bằng  thì nhiệt độ tuyệt đối của khối khí,giảm 2 lần.,tăng 2 lần.,tăng 4 lần.,"giảm 4 lần.
Hướng dẫn giải
CĐTD: Hiểu
TPNL: VL1.5
Theo định luật Charles, khi áp suất của khối khí lí tưởng xác định không đổi thì thể tích và nhiệt độ tuyệt đối của khối khí tỉ lệ thuận với nhau. Do đó, thể tích của khối khí tăng 2 lần (từ  lên ) thì nhiệt độ tuyệt đối của nó tăng 2 lần.","Đáp án: B
CĐTD: Hiểu
TPNL: VL1.5
Theo định luật Charles, khi áp suất của khối khí lí tưởng xác định không đổi thì thể tích và nhiệt độ tuyệt đối của khối khí tỉ lệ thuận với nhau. Do đó, thể tích của khối khí tăng 2 lần (từ  lên ) thì nhiệt độ tuyệt đối của nó tăng 2 lần."
7,"Gọi p, V và T lần lượt là áp suất, thể tích và nhiệt độ tuyệt đối của một khối khí lí tưởng xác định. Công thức nào sau đây mô tả đúng định luật Boyle?",hằng số.,hằng số.,hằng số.,"hằng số.
Hướng dẫn giải
CĐTD: Biết
TPNL: VL1.3
Theo định luật Boyle, khi nhiệt độ khối khí lí tưởng xác định không đổi thì áp suất  và thể tích  của khối khí tỉ lệ nghịch với nhau, tức là","Đáp án: D
CĐTD: Biết
TPNL: VL1.3
Theo định luật Boyle, khi nhiệt độ khối khí lí tưởng xác định không đổi thì áp suất  và thể tích  của khối khí tỉ lệ nghịch với nhau, tức là"
8,"Một căn phòng mở cửa, không khí trong phòng vào sáng sớm có nhiệt độ . Đến giữa trưa, không khí trong phòng có nhiệt độ . Coi không khí trong phòng là khí lí tưởng, áp suất khí quyển thay đổi không đáng kể, trời gần như lặng gió. So với khối lượng không khí trong phòng vào sáng sớm, tính đến giữa trưa, phần trăm khối lượng không khí đã thoát ra ngoài phòng là","1,65%.",20%.,"98,35%.","80%.
Hướng dẫn giải
CĐTD: Vận dụng
TPNL: VL3.1
Dùng phương trình Clapeyron cho lượng không khí có trong phòng vào sáng sớm, vào giữa trưa với chú ý áp suất và thể tích của hai lượng khí này như nhau, còn khối lượng là  và , nhiệt độ tuyệt đối là  và  đều khác nhau, khối lượng mol không khí là , ta có
trong đó  là hằng số khí.
Từ hai phương trình này ta suy ra
hay là","Đáp án: A
CĐTD: Vận dụng
TPNL: VL3.1
Dùng phương trình Clapeyron cho lượng không khí có trong phòng vào sáng sớm, vào giữa trưa với chú ý áp suất và thể tích của hai lượng khí này như nhau, còn khối lượng là  và , nhiệt độ tuyệt đối là  và  đều khác nhau, khối lượng mol không khí là , ta có
trong đó  là hằng số khí.
Từ hai phương trình này ta suy ra
hay là"
9,"Trong sóng điện từ, dao động của điện trường và của từ trường tại một điểm luôn",ngược pha nhau.,lệch pha nhau .,lệch pha nhau .,"đồng pha nhau.
Hướng dẫn giải
CĐTD: Biết
TPNL: VL1.4
Trong sóng điện từ, dao động của điện trường và của từ trường tại một điểm luôn đồng pha nhau.
Sử dụng các thông tin sau cho Câu 10 và Câu 11: Hình bên mô tả một dynamo gắn trên xe đạp và sơ đồ cấu tạo của nó. Khi xe đạp chạy, bánh xe làm cho núm dẫn động quay, kéo theo nam châm quay. Khi đó trong cuộn dây xuất hiện dòng điện, làm cho bóng đèn mắc nối tiếp với cuộn dây sáng lên.","Đáp án: D
CĐTD: Biết
TPNL: VL1.4
Trong sóng điện từ, dao động của điện trường và của từ trường tại một điểm luôn đồng pha nhau.
Sử dụng các thông tin sau cho Câu 10 và Câu 11: Hình bên mô tả một dynamo gắn trên xe đạp và sơ đồ cấu tạo của nó. Khi xe đạp chạy, bánh xe làm cho núm dẫn động quay, kéo theo nam châm quay. Khi đó trong cuộn dây xuất hiện dòng điện, làm cho bóng đèn mắc nối tiếp với cuộn dây sáng lên."
10,Dynamo gắn trên xe đạp là một ứng dụng của,hiện tượng cảm ứng điện từ.,hiện tượng tích điện.,hiện tượng quang điện.,"hiện tượng nhiễm điện do cọ xát.
Hướng dẫn giải
CĐTD: Biết
TPNL: VL1.1
Nam châm quay làm cho từ thông gửi qua cuộn dây thay đổi nên trong cuộn dây xuất hiện suất điện động cảm ứng. Bóng đèn mắc nối tiếp với cuộn dây thành mạch kín nên trong mạch có dòng điện cảm ứng làm cho bóng đèn sáng lên. Đây là hiện tượng cảm ứng điện từ.","Đáp án: A
CĐTD: Biết
TPNL: VL1.1
Nam châm quay làm cho từ thông gửi qua cuộn dây thay đổi nên trong cuộn dây xuất hiện suất điện động cảm ứng. Bóng đèn mắc nối tiếp với cuộn dây thành mạch kín nên trong mạch có dòng điện cảm ứng làm cho bóng đèn sáng lên. Đây là hiện tượng cảm ứng điện từ."
11,"Dòng điện chạy qua bóng đèn là dòng điện gì, độ sáng của bóng đèn thay đổi như thế nào khi xe đạp tăng tốc độ?","Dòng điện xoay chiều, độ sáng tăng.","Dòng điện một chiều, độ sáng giảm.","Dòng điện xoay chiều, độ sáng giảm.","Dòng điện một chiều, độ sáng tăng.
Hướng dẫn giải
CĐTD: Hiểu
TPNL: VL1.5
Khi nam châm quay, từ thông gửi qua cuộn dây có giá trị đại số (âm, dương hoặc bằng 0), thay đổi theo thời gian nên dòng điện cảm ứng xuất hiện trong cuộn dây và chạy qua bóng đèn là dòng điện xoay chiều.
Khi xe đạp tăng tốc độ thì tốc độ biến thiên của từ thông qua cuộn dây tăng, dẫn đến suất điện động và dòng điện cảm ứng trong mạch có biên độ tăng, có tốc độ biến thiên theo thời gian tăng, làm cho độ sáng của bóng đèn tăng.","Đáp án: A
CĐTD: Hiểu
TPNL: VL1.5
Khi nam châm quay, từ thông gửi qua cuộn dây có giá trị đại số (âm, dương hoặc bằng 0), thay đổi theo thời gian nên dòng điện cảm ứng xuất hiện trong cuộn dây và chạy qua bóng đèn là dòng điện xoay chiều.
Khi xe đạp tăng tốc độ thì tốc độ biến thiên của từ thông qua cuộn dây tăng, dẫn đến suất điện động và dòng điện cảm ứng trong mạch có biên độ tăng, có tốc độ biến thiên theo thời gian tăng, làm cho độ sáng của bóng đèn tăng."
12,Hình vẽ nào sau đây mô tả đúng về lực từ  tác dụng lên một đoạn dây dẫn thẳng mang dòng điện cường độ  đặt trong một từ trường đều ?,Hình 1.,Hình 2.,Hình 3.,"Hình 4.
Hướng dẫn giải
CĐTD: Hiểu
TPNL: VL1.3
Sử dụng quy tắc bàn tay trái về tìm chiều của lực từ tác dụng lên đoạn dòng điện đặt trong từ trường ta thấy chỉ có phương án B đúng.","Đáp án: B
CĐTD: Hiểu
TPNL: VL1.3
Sử dụng quy tắc bàn tay trái về tìm chiều của lực từ tác dụng lên đoạn dòng điện đặt trong từ trường ta thấy chỉ có phương án B đúng."
